State,Status,CustomerCount,StatusDate
NY,1,205,2010-04-05 00:00:00
GA,1,218,2010-04-12 00:00:00
NY,2,201,2010-04-19 00:00:00
fl,2,853,2010-04-26 00:00:00
NJ,3,768,2010-05-03 00:00:00
GA,3,110,2010-05-10 00:00:00
TX,2,238,2010-05-17 00:00:00
TX,3,965,2010-05-24 00:00:00
fl,3,408,2010-05-31 00:00:00
GA,2,602,2010-06-07 00:00:00
FL,2,586,2010-06-14 00:00:00
NY,3,678,2010-06-21 00:00:00
FL,1,847,2010-06-28 00:00:00
fl,3,676,2010-07-05 00:00:00
FL,3,200,2010-07-12 00:00:00
GA,1,153,2010-07-19 00:00:00
NY,2,746,2010-07-26 00:00:00
GA,2,738,2010-08-02 00:00:00
GA,3,635,2010-08-09 00:00:00
fl,1,547,2010-08-16 00:00:00
TX,3,321,2010-08-23 00:00:00
NJ,1,823,2010-08-30 00:00:00
GA,3,522,2010-09-06 00:00:00
TX,1,787,2010-09-13 00:00:00
TX,1,191,2010-09-20 00:00:00
GA,1,753,2010-09-27 00:00:00
fl,3,836,2010-10-04 00:00:00
fl,1,800,2010-10-11 00:00:00
FL,1,722,2010-10-18 00:00:00
GA,2,199,2010-10-25 00:00:00
NY,1,826,2010-11-01 00:00:00
NJ,2,151,2010-11-08 00:00:00
TX,1,336,2010-11-15 00:00:00
FL,2,81,2010-11-22 00:00:00
FL,1,366,2010-11-29 00:00:00
fl,2,51,2010-12-06 00:00:00
FL,3,950,2010-12-13 00:00:00
FL,2,504,2010-12-20 00:00:00
TX,3,51,2010-12-27 00:00:00
FL,3,921,2011-01-03 00:00:00
NY,2,582,2011-01-10 00:00:00
fl,3,988,2011-01-17 00:00:00
GA,2,108,2011-01-24 00:00:00
fl,3,504,2011-01-31 00:00:00
TX,1,371,2011-02-07 00:00:00
GA,3,66,2011-02-14 00:00:00
TX,1,699,2011-02-21 00:00:00
GA,3,975,2011-02-28 00:00:00
NJ,2,880,2011-03-07 00:00:00
FL,1,333,2011-03-14 00:00:00
FL,2,703,2011-03-21 00:00:00
GA,3,409,2011-03-28 00:00:00
NJ,3,451,2011-04-04 00:00:00
fl,2,71,2011-04-11 00:00:00
fl,1,398,2011-04-18 00:00:00
FL,1,910,2011-04-25 00:00:00
GA,3,659,2011-05-02 00:00:00
GA,2,691,2011-05-09 00:00:00
TX,2,174,2011-05-16 00:00:00
NJ,3,872,2011-05-23 00:00:00
GA,1,126,2011-05-30 00:00:00
TX,2,579,2011-06-06 00:00:00
TX,2,797,2011-06-13 00:00:00
GA,3,401,2011-06-20 00:00:00
TX,3,125,2011-06-27 00:00:00
FL,1,998,2011-07-04 00:00:00
NJ,1,878,2011-07-11 00:00:00
NJ,3,306,2011-07-18 00:00:00
FL,2,462,2011-07-25 00:00:00
NY,3,746,2011-08-01 00:00:00
NJ,1,223,2011-08-08 00:00:00
GA,1,730,2011-08-15 00:00:00
NJ,3,626,2011-08-22 00:00:00
GA,1,865,2011-08-29 00:00:00
FL,2,41,2011-09-05 00:00:00
TX,2,909,2011-09-12 00:00:00
NJ,3,187,2011-09-19 00:00:00
fl,3,825,2011-09-26 00:00:00
NJ,1,742,2011-10-03 00:00:00
FL,3,348,2011-10-10 00:00:00
FL,3,214,2011-10-17 00:00:00
FL,2,47,2011-10-24 00:00:00
TX,2,667,2011-10-31 00:00:00
FL,3,455,2011-11-07 00:00:00
NY,1,747,2011-11-14 00:00:00
NY,2,141,2011-11-21 00:00:00
FL,1,142,2011-11-28 00:00:00
fl,1,606,2011-12-05 00:00:00
FL,2,549,2011-12-12 00:00:00
NJ,2,279,2011-12-19 00:00:00
FL,3,225,2011-12-26 00:00:00
FL,1,784,2012-01-02 00:00:00
NJ,3,510,2012-01-09 00:00:00
NJ,1,240,2012-01-16 00:00:00
GA,2,211,2012-01-23 00:00:00
fl,2,973,2012-01-30 00:00:00
GA,1,649,2012-02-06 00:00:00
NJ,2,743,2012-02-13 00:00:00
NJ,3,669,2012-02-20 00:00:00
NJ,3,360,2012-02-27 00:00:00
fl,1,433,2012-03-05 00:00:00
NJ,1,858,2012-03-12 00:00:00
NJ,1,607,2012-03-19 00:00:00
NY,2,904,2012-03-26 00:00:00
fl,3,175,2012-04-02 00:00:00
TX,2,513,2012-04-09 00:00:00
TX,3,486,2012-04-16 00:00:00
NJ,1,516,2012-04-23 00:00:00
TX,1,471,2012-04-30 00:00:00
TX,1,670,2012-05-07 00:00:00
FL,3,500,2012-05-14 00:00:00
FL,3,457,2012-05-21 00:00:00
NY,2,789,2012-05-28 00:00:00
TX,1,410,2012-06-04 00:00:00
NY,3,100,2012-06-11 00:00:00
FL,1,669,2012-06-18 00:00:00
fl,2,348,2012-06-25 00:00:00
fl,3,336,2012-07-02 00:00:00
fl,3,393,2012-07-09 00:00:00
NJ,3,210,2012-07-16 00:00:00
FL,3,363,2012-07-23 00:00:00
FL,3,995,2012-07-30 00:00:00
fl,1,178,2012-08-06 00:00:00
TX,3,26,2012-08-13 00:00:00
NJ,1,248,2012-08-20 00:00:00
TX,2,74,2012-08-27 00:00:00
NY,3,46,2012-09-03 00:00:00
FL,3,920,2012-09-10 00:00:00
fl,2,623,2012-09-17 00:00:00
NJ,3,784,2012-09-24 00:00:00
TX,3,924,2012-10-01 00:00:00
fl,1,716,2012-10-08 00:00:00
fl,3,428,2012-10-15 00:00:00
fl,1,955,2012-10-22 00:00:00
NJ,2,380,2012-10-29 00:00:00
GA,2,105,2012-11-05 00:00:00
fl,3,772,2012-11-12 00:00:00
NJ,2,390,2012-11-19 00:00:00
FL,3,513,2012-11-26 00:00:00
FL,2,122,2012-12-03 00:00:00
NY,2,887,2012-12-10 00:00:00
TX,2,988,2012-12-17 00:00:00
TX,3,946,2012-12-24 00:00:00
GA,2,970,2012-12-31 00:00:00
FL,,,
